10:30:32:345 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00ff)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff0000
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff0000
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff005f)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff005f
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff005f
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00af)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff00af
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff00af
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ffff00)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ffff00
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ffff00
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ffaf00)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ffaf00
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ffaf00
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff5f00)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff5f00
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff5f00
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff0000)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff0000
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff0000
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff005f)
10:30:32:347 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff005f
10:30:32:347 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff005f
10:30:32:347 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00af)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff00af
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff00af
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00ff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff00ff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff00ff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#af00ff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #af00ff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #af00ff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#5f00ff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #5f00ff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #5f00ff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#0000ff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #0000ff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #0000ff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#005fff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #005fff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #005fff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00afff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00afff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00afff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ffff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ffff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffaf)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ffaf
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ffaf
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ff00)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ff00
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ff00
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#afff00)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #afff00
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #afff00
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#005fff)
10:30:32:348 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #005fff
10:30:32:348 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #005fff
10:30:32:348 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00afff)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00afff
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00afff
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffff)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ffff
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ffff
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffaf)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ffaf
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ffaf
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ff00)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ff00
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ff00
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#afff00)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #afff00
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #afff00
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ffff00)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ffff00
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ffff00
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ffaf00)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ffaf00
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ffaf00
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff5f00)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff5f00
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff5f00
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff0000)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff0000
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff0000
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff005f)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff005f
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff005f
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00af)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff00af
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff00af
10:30:32:349 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00ff)
10:30:32:349 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff00ff
10:30:32:349 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff00ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#af00ff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #af00ff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #af00ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#5f00ff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #5f00ff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #5f00ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#0000ff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #0000ff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #0000ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff005f)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff005f
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff005f
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00af)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff00af
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff00af
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff00ff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff00ff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff00ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#af00ff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #af00ff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #af00ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#5f00ff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #5f00ff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #5f00ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#0000ff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #0000ff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #0000ff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#005fff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #005fff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #005fff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00afff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00afff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00afff
10:30:32:350 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffff)
10:30:32:350 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ffff
10:30:32:350 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ffff
10:30:32:351 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ffaf)
10:30:32:351 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ffaf
10:30:32:351 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ffaf
10:30:32:351 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#00ff00)
10:30:32:351 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #00ff00
10:30:32:351 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #00ff00
10:30:32:351 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#afff00)
10:30:32:351 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #afff00
10:30:32:351 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #afff00
10:30:32:351 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ffff00)
10:30:32:351 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ffff00
10:30:32:351 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ffff00
10:30:32:351 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ffaf00)
10:30:32:351 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ffaf00
10:30:32:351 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ffaf00
10:30:32:351 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff5f00)
10:30:32:351 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff5f00
10:30:32:351 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff5f00
10:30:32:351 AM |   color.py    |      Line  783  |  DEBUG   ﰲ  Entered Color.parse_str(#ff0000)
10:30:32:351 AM |   color.py    |      Line  786  |  DEBUG   ﰲ  value_lower: #ff0000
10:30:32:351 AM |   color.py    |      Line  791  |  DEBUG   ﰲ  KeyError: #ff0000
